position,name,week,points,source
<<<<<<< HEAD
QB,Blake Bortles,10.0,20.9,NFL.com
QB,Ryan Fitzpatrick,10.0,19.36,NFL.com
QB,Joe Flacco,10.0,19.14,NFL.com
QB,Jameis Winston,10.0,18.2,NFL.com
QB,Marcus Mariota,10.0,17.9,NFL.com
QB,Drew Brees,10.0,16.44,NFL.com
QB,Philip Rivers,10.0,15.8,NFL.com
QB,Ben Roethlisberger,10.0,15.62,NFL.com
QB,Aaron Rodgers,10.0,15.4,NFL.com
QB,Cam Newton,10.0,14.6,NFL.com
QB,Matt Ryan,10.0,14.36,NFL.com
QB,Carson Wentz,10.0,13.92,NFL.com
QB,Andy Dalton,10.0,13.66,NFL.com
QB,Trevor Siemian,10.0,13.62,NFL.com
QB,Dak Prescott,10.0,13.42,NFL.com
QB,Ryan Tannehill,10.0,13.0,NFL.com
QB,Carson Palmer,10.0,12.8,NFL.com
QB,Russell Wilson,10.0,12.58,NFL.com
QB,Eli Manning,10.0,12.3,NFL.com
QB,Tom Brady,10.0,11.88,NFL.com
QB,Cody Kessler,10.0,11.88,NFL.com
QB,Alex Smith,10.0,11.78,NFL.com
QB,Case Keenum,10.0,11.58,NFL.com
QB,Jay Cutler,10.0,11.16,NFL.com
QB,Kirk Cousins,10.0,10.78,NFL.com
RB,David Johnson,10.0,24.4,NFL.com
RB,Melvin Gordon,10.0,16.8,NFL.com
RB,Peyton Barber,10.0,15.0,NFL.com
RB,Devontae Booker,10.0,14.7,NFL.com
RB,Jordan Howard,10.0,14.7,NFL.com
RB,Jay Ajayi,10.0,14.3,NFL.com
RB,Matt Forte,10.0,14.2,NFL.com
RB,Rashad Jennings,10.0,14.2,NFL.com
RB,Terrance West,10.0,14.2,NFL.com
RB,LeGarrette Blount,10.0,13.4,NFL.com
RB,Ryan Mathews,10.0,12.4,NFL.com
RB,Giovani Bernard,10.0,11.8,NFL.com
RB,Tim Hightower,10.0,11.7,NFL.com
RB,Le'Veon Bell,10.0,11.0,NFL.com
RB,James White,10.0,10.6,NFL.com
RB,Devonta Freeman,10.0,10.1,NFL.com
RB,Ronnie Hillman,10.0,9.9,NFL.com
RB,Jerick McKinnon,10.0,9.9,NFL.com
RB,Paul Perkins,10.0,9.9,NFL.com
RB,Chris Ivory,10.0,9.8,NFL.com
RB,Chris Thompson,10.0,9.7,NFL.com
RB,T.J. Yeldon,10.0,9.6,NFL.com
RB,DeMarco Murray,10.0,9.3,NFL.com
RB,Mark Ingram,10.0,8.6,NFL.com
RB,Alfred Morris,10.0,8.6,NFL.com
WR,A.J. Green,10.0,15.1,NFL.com
WR,Jarvis Landry,10.0,14.0,NFL.com
WR,Odell Beckham,10.0,13.7,NFL.com
WR,Antonio Brown,10.0,13.7,NFL.com
WR,Michael Thomas,10.0,13.1,NFL.com
WR,Brandon Marshall,10.0,12.7,NFL.com
WR,John Brown,10.0,12.4,NFL.com
WR,Willie Snead,10.0,12.4,NFL.com
WR,Jordy Nelson,10.0,12.3,NFL.com
WR,Steve Smith,10.0,12.3,NFL.com
WR,Tyrell Williams,10.0,11.9,NFL.com
WR,Randall Cobb,10.0,11.8,NFL.com
WR,Allen Robinson,10.0,11.7,NFL.com
WR,Julian Edelman,10.0,11.5,NFL.com
WR,Davante Adams,10.0,11.4,NFL.com
WR,Cole Beasley,10.0,11.4,NFL.com
WR,Michael Floyd,10.0,11.3,NFL.com
WR,Rishard Matthews,10.0,11.1,NFL.com
WR,Eli Rogers,10.0,11.1,NFL.com
WR,Allen Hurns,10.0,11.0,NFL.com
WR,Pierre Garcon,10.0,10.9,NFL.com
WR,Jamison Crowder,10.0,10.8,NFL.com
WR,Tyreek Hill,10.0,10.8,NFL.com
WR,Chris Hogan,10.0,10.5,NFL.com
WR,Adam Humphries,10.0,10.3,NFL.com
TE,Rob Gronkowski,10.0,13.2,NFL.com
TE,Greg Olsen,10.0,12.8,NFL.com
TE,Jordan Reed,10.0,12.7,NFL.com
TE,Tyler Eifert,10.0,11.0,NFL.com
TE,Antonio Gates,10.0,10.5,NFL.com
TE,Dennis Pitta,10.0,9.9,NFL.com
TE,Martellus Bennett,10.0,9.0,NFL.com
TE,Larry Donnell,10.0,8.1,NFL.com
TE,Jermaine Gresham,10.0,8.1,NFL.com
TE,Austin Hooper,10.0,8.0,NFL.com
TE,Marcedes Lewis,10.0,7.8,NFL.com
TE,Dion Sims,10.0,7.7,NFL.com
TE,Vernon Davis,10.0,7.4,NFL.com
TE,Josh Hill,10.0,7.0,NFL.com
TE,Jimmy Graham,10.0,6.6,NFL.com
TE,Delanie Walker,10.0,5.6,NFL.com
TE,Travis Kelce,10.0,4.8,NFL.com
TE,Zach Ertz,10.0,4.6,NFL.com
TE,Jason Witten,10.0,4.6,NFL.com
TE,Gary Barnidge,10.0,4.3,NFL.com
TE,Coby Fleener,10.0,4.3,NFL.com
TE,Cameron Brate,10.0,4.1,NFL.com
TE,Zach Miller,10.0,3.9,NFL.com
TE,Kyle Rudolph,10.0,3.8,NFL.com
TE,Lance Kendricks,10.0,3.5,NFL.com
K,Chandler Catanzaro,10.0,12.0,NFL.com
K,Nick Folk,10.0,11.0,NFL.com
K,Brandon McManus,10.0,11.0,NFL.com
K,Cairo Santos,10.0,11.0,NFL.com
K,Justin Tucker,10.0,11.0,NFL.com
K,Greg Zuerlein,10.0,10.0,NFL.com
K,Connor Barth,10.0,8.0,NFL.com
K,Mason Crosby,10.0,8.0,NFL.com
K,Josh Lambo,10.0,8.0,NFL.com
K,Jason Myers,10.0,8.0,NFL.com
K,Nick Novak,10.0,8.0,NFL.com
K,Mike Nugent,10.0,8.0,NFL.com
K,Caleb Sturgis,10.0,8.0,NFL.com
K,Cody Parkey,10.0,7.0,NFL.com
K,Roberto Aguayo,10.0,5.0,NFL.com
K,Dan Bailey,10.0,5.0,NFL.com
K,Andrew Franks,10.0,5.0,NFL.com
K,Robbie Gould,10.0,5.0,NFL.com
K,Steven Hauschka,10.0,5.0,NFL.com
K,Dustin Hopkins,10.0,5.0,NFL.com
K,Blair Walsh,10.0,5.0,NFL.com
K,Chris Boswell,10.0,2.0,NFL.com
K,Matt Bryant,10.0,2.0,NFL.com
K,Graham Gano,10.0,2.0,NFL.com
K,Stephen Gostkowski,10.0,2.0,NFL.com
DEF,Tampa Bay Buccaneers,10.0,12.0,NFL.com
DEF,New York Jets,10.0,12.0,NFL.com
DEF,Baltimore Ravens,10.0,12.0,NFL.com
DEF,Cleveland Browns,10.0,11.0,NFL.com
DEF,Los Angeles Rams,10.0,10.0,NFL.com
DEF,Chicago Bears,10.0,6.0,NFL.com
DEF,Arizona Cardinals,10.0,6.0,NFL.com
DEF,New York Giants,10.0,6.0,NFL.com
DEF,New Orleans Saints,10.0,6.0,NFL.com
DEF,Pittsburgh Steelers,10.0,6.0,NFL.com
DEF,Houston Texans,10.0,6.0,NFL.com
DEF,San Francisco 49ers,10.0,5.0,NFL.com
DEF,Dallas Cowboys,10.0,5.0,NFL.com
DEF,San Diego Chargers,10.0,4.0,NFL.com
DEF,Miami Dolphins,10.0,4.0,NFL.com
DEF,Philadelphia Eagles,10.0,4.0,NFL.com
DEF,Atlanta Falcons,10.0,4.0,NFL.com
DEF,Jacksonville Jaguars,10.0,4.0,NFL.com
DEF,Green Bay Packers,10.0,4.0,NFL.com
DEF,Carolina Panthers,10.0,4.0,NFL.com
DEF,New England Patriots,10.0,4.0,NFL.com
DEF,Washington Redskins,10.0,4.0,NFL.com
DEF,Minnesota Vikings,10.0,4.0,NFL.com
DEF,Seattle Seahawks,10.0,3.0,NFL.com
DEF,Kansas City Chiefs,10.0,2.0,NFL.com
QB,Kirk Cousins,10.0,10.78,NFL.com
QB,Brock Osweiler,10.0,10.7,NFL.com
QB,Sam Bradford,10.0,8.92,NFL.com
QB,Colin Kaepernick,10.0,8.56,NFL.com
QB,Drew Stanton,10.0,0.6,NFL.com
QB,Nick Foles,10.0,0.56,NFL.com
QB,Kevin Hogan,10.0,0.52,NFL.com
QB,Ryan Mallett,10.0,0.46,NFL.com
QB,Ryan Nassib,10.0,0.46,NFL.com
QB,Jimmy Garoppolo,10.0,0.42,NFL.com
QB,Mike Glennon,10.0,0.42,NFL.com
QB,Bryce Petty,10.0,0.38,NFL.com
QB,Derek Anderson,10.0,0.36,NFL.com
QB,Matt Cassel,10.0,0.36,NFL.com
QB,Chase Daniel,10.0,0.36,NFL.com
QB,Paxton Lynch,10.0,0.36,NFL.com
QB,Joe Webb,10.0,0.36,NFL.com
QB,Kellen Clemens,10.0,0.32,NFL.com
QB,AJ McCarron,10.0,0.32,NFL.com
QB,Luke McCown,10.0,0.32,NFL.com
QB,Colt McCoy,10.0,0.32,NFL.com
QB,Chad Henne,10.0,0.28,NFL.com
QB,Landry Jones,10.0,0.28,NFL.com
QB,Matt Barkley,10.0,0.24,NFL.com
QB,Brett Hundley,10.0,0.24,NFL.com
RB,Alfred Morris,10.0,8.6,NFL.com
RB,Ezekiel Elliott,10.0,8.5,NFL.com
RB,Todd Gurley,10.0,8.5,NFL.com
RB,Andre Ellington,10.0,8.0,NFL.com
RB,Lamar Miller,10.0,7.8,NFL.com
RB,Carlos Hyde,10.0,7.5,NFL.com
RB,Christine Michael,10.0,7.0,NFL.com
RB,Isaiah Crowell,10.0,6.5,NFL.com
RB,Rob Kelley,10.0,6.3,NFL.com
RB,Jonathan Stewart,10.0,6.3,NFL.com
RB,Spencer Ware,10.0,5.9,NFL.com
RB,Matt Asiata,10.0,5.8,NFL.com
RB,Don Jackson,10.0,5.2,NFL.com
RB,Jeremy Hill,10.0,5.1,NFL.com
RB,Duke Johnson,10.0,5.1,NFL.com
RB,Matt Jones,10.0,4.7,NFL.com
RB,Bilal Powell,10.0,4.3,NFL.com
RB,Darren Sproles,10.0,3.6,NFL.com
RB,James Starks,10.0,3.5,NFL.com
RB,Jeremy Langford,10.0,3.4,NFL.com
RB,Charcandrick West,10.0,3.0,NFL.com
RB,C.J. Prosise,10.0,2.7,NFL.com
RB,Damien Williams,10.0,2.6,NFL.com
RB,Alfred Blue,10.0,2.2,NFL.com
RB,Wendell Smallwood,10.0,2.1,NFL.com
WR,Adam Humphries,10.0,10.3,NFL.com
WR,Tajae Sharpe,10.0,10.3,NFL.com
WR,Roger Lewis,10.0,10.2,NFL.com
WR,Dontrelle Inman,10.0,10.1,NFL.com
WR,Sterling Shepard,10.0,10.0,NFL.com
WR,Marqise Lee,10.0,9.9,NFL.com
WR,J.J. Nelson,10.0,9.9,NFL.com
WR,Aldrick Robinson,10.0,9.8,NFL.com
WR,Tyler Boyd,10.0,9.5,NFL.com
WR,Ty Montgomery,10.0,9.0,NFL.com
WR,Julio Jones,10.0,8.9,NFL.com
WR,Mike Evans,10.0,8.8,NFL.com
WR,De'Anthony Thomas,10.0,8.6,NFL.com
WR,Brandon Coleman,10.0,8.4,NFL.com
WR,Jordan Norwood,10.0,8.4,NFL.com
WR,Breshad Perriman,10.0,8.3,NFL.com
WR,Jeff Janis,10.0,7.9,NFL.com
WR,Bryan Walters,10.0,7.9,NFL.com
WR,Russell Shepard,10.0,7.4,NFL.com
WR,Brandin Cooks,10.0,6.7,NFL.com
WR,Larry Fitzgerald,10.0,6.7,NFL.com
WR,Alshon Jeffery,10.0,6.5,NFL.com
WR,Demaryius Thomas,10.0,6.4,NFL.com
WR,Emmanuel Sanders,10.0,6.3,NFL.com
WR,DeAndre Hopkins,10.0,6.2,NFL.com
TE,Lance Kendricks,10.0,3.5,NFL.com
TE,Hunter Henry,10.0,3.4,NFL.com
TE,C.J. Fiedorowicz,10.0,3.1,NFL.com
TE,Vance McDonald,10.0,3.0,NFL.com
TE,Julius Thomas,10.0,3.0,NFL.com
TE,Jacob Tamme,10.0,2.8,NFL.com
TE,Richard Rodgers,10.0,2.6,NFL.com
TE,Jared Cook,10.0,2.2,NFL.com
TE,Virgil Green,10.0,2.1,NFL.com
TE,Ryan Griffin,10.0,2.1,NFL.com
TE,Jesse James,10.0,2.1,NFL.com
TE,Will Tye,10.0,2.1,NFL.com
TE,Austin Seferian,10.0,2.0,NFL.com
TE,Garrett Celek,10.0,1.7,NFL.com
TE,MarQueis Gray,10.0,1.3,NFL.com
TE,Xavier Grimble,10.0,1.3,NFL.com
TE,Trey Burton,10.0,1.2,NFL.com
TE,C.J. Uzomah,10.0,1.2,NFL.com
TE,Tyler Kroft,10.0,1.1,NFL.com
TE,Jerell Adams,10.0,0.9,NFL.com
TE,Brent Celek,10.0,0.9,NFL.com
